track_id,track_name,track_artist,acousticness,preview_url
66Ms7aYFty1lNm02SuY6II,IYKYK,B-Lovee,0.742,https://p.scdn.co/mp3-preview/05013d6061351794924873d90576ee4b9abedad2?cid=49789426e6c04428a2befbd3c2d79b02
1TKTiKp3zbNgrBH2IwSwIx,Us and Them,Pink Floyd,0.862,https://p.scdn.co/mp3-preview/2f7fbb26efa0addb66a81b2cbf9442e818c79c75?cid=49789426e6c04428a2befbd3c2d79b02
0lLdorYw7lVrJydTINhWdI,It's Beginning to Look a Lot like Christmas,Michael Bublé,0.908,https://p.scdn.co/mp3-preview/51f36d7e04069ef4869ea575fb21e5404710b1c4?cid=49789426e6c04428a2befbd3c2d79b02
7K6xMPtAjTuLPNlJMLf5bS,"Another Brick in the Wall, Pt. 1",Pink Floyd,0.937,https://p.scdn.co/mp3-preview/1d638ff0ac27fbfcb3eed2d9c64a679cd2f36a10?cid=49789426e6c04428a2befbd3c2d79b02
3QBZhGyrmH16X853rimdE1,I Made You Do,Melih Aydogan,0.71,https://p.scdn.co/mp3-preview/28886a9fa2215c7552487f9488a0da27a1e4fe58?cid=49789426e6c04428a2befbd3c2d79b02
5sxRbu2Oi9lgmLO8taA3Rf,"327 (feat. Tyler, The Creator & Billie Essco)",Westside Gunn,0.832,https://p.scdn.co/mp3-preview/11f5ff2236f1a26372a5075e2be9bd37406acbec?cid=49789426e6c04428a2befbd3c2d79b02
4kKdvXD0ez7jp1296JmAts,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,0.903,https://p.scdn.co/mp3-preview/40594c6620307172f3bb34b9ee5979d3c1c4b718?cid=49789426e6c04428a2befbd3c2d79b02
6ZthdsKjWtiCxnxbhs74vF,Drip or Drown,Gunna,0.774,https://p.scdn.co/mp3-preview/d0722f3ae15763c5f462111b094af348c137e416?cid=49789426e6c04428a2befbd3c2d79b02
4dd9GGN2kHb1d28yGL578m,distance,Nohidea,0.753,https://p.scdn.co/mp3-preview/fa82831071bf78c1f4310b60fefe4fde8a0574ac?cid=49789426e6c04428a2befbd3c2d79b02
7AuogiLJdOZop0gEhqD1gT,BUDDAH ARMS,Thouxanbanfauni,0.816,https://p.scdn.co/mp3-preview/fe378a75ac6b31367880e6e275a35233c6835284?cid=49789426e6c04428a2befbd3c2d79b02
