track_id,track_name,track_artist,danceability,instrumentalness,speechiness,acousticness,energy,valence,tempo,loudness,liveness,key,mode,time_signature,preview_url
6HJiKaPc4LYPczBFGSMBFs,I Got Summer On My Mind,Jay Dunham,0.807,0.527,0.0631,0.00148,0.835,0.349,124.979,-6.849,0.233,9,0,4,https://p.scdn.co/mp3-preview/69ee7f18663f3fad73c91ce9f49aed4c28907d29?cid=49789426e6c04428a2befbd3c2d79b02
378GxC9FFbFaw02SyyxHfO,Serve a Boat,Shoreline Mafia,0.663,0.0,0.226,0.0312,0.636,0.433,159.999,-6.072,0.515,10,0,4,https://p.scdn.co/mp3-preview/27961228bd5786d28e94ece1fe0b439fa7a84817?cid=49789426e6c04428a2befbd3c2d79b02
5OKuigqDZttO0FSkKVF3tB,Fruit Punch,Jay Faded,0.68,0.0218,0.0806,0.182,0.488,0.289,127.027,-9.4,0.2,9,1,4,https://p.scdn.co/mp3-preview/805c3b2503faa71520233bd22e29fbff477e8bc5?cid=49789426e6c04428a2befbd3c2d79b02
1Ks2UH3WvpohH9q8b03NM7,Skank N Flex (with Scrufizzer),Wax Motif,0.969,0.00593,0.123,0.00416,0.87,0.567,130.054,-4.805,0.0789,9,1,4,https://p.scdn.co/mp3-preview/3ea6dda0cf4aa3f751934c033446b52d0a8fd369?cid=49789426e6c04428a2befbd3c2d79b02
2dy2C0StZ3yiEeb0Aoolcn,Bang Bang,Rita Ora,0.764,0.000263,0.0636,0.159,0.846,0.777,122.992,-2.743,0.0475,10,0,4,https://p.scdn.co/mp3-preview/ec4790fb839ecd2630ddc2eb8efbb3b68aed23da?cid=49789426e6c04428a2befbd3c2d79b02
4i2qxFEVVUi8yOYoxB8TCX,Midnight Sky,Miley Cyrus,0.699,0.00177,0.0345,0.00161,0.805,0.232,109.976,-5.535,0.249,4,0,4,https://p.scdn.co/mp3-preview/f96154dc52234269b2d5625084acf7d3e38c77f8?cid=49789426e6c04428a2befbd3c2d79b02
5BkNCuxzzid0gz9sx3NNbX,My Silver Lining,First Aid Kit,0.479,0.000129,0.0335,0.026,0.725,0.43,101.938,-4.671,0.209,2,1,4,https://p.scdn.co/mp3-preview/87666d53064eeef2d74e97b1f0e12095d5c10b35?cid=49789426e6c04428a2befbd3c2d79b02
0vAb3U3NJhiuib2B7sJdeJ,Money,The Drums,0.603,0.146,0.0641,0.216,0.918,0.452,102.473,-6.652,0.287,4,0,4,https://p.scdn.co/mp3-preview/c5428296d5ce1b42027ab8523e14c5ed04f6a068?cid=49789426e6c04428a2befbd3c2d79b02
6fwdbPMwP1zVStm8FybmkO,X (feat. Future),21 Savage,0.835,0.00133,0.396,0.373,0.413,0.111,149.004,-9.81,0.101,1,1,4,https://p.scdn.co/mp3-preview/e78593e7e98516fdbefcca7cec67ae2e787baf8e?cid=49789426e6c04428a2befbd3c2d79b02
3wKKkGVn7cVSfgPeYYIiXG,Kiss Kiss (feat. T-Pain),Chris Brown,0.729,0.0,0.225,0.0506,0.658,0.551,140.043,-3.386,0.0693,10,0,3,https://p.scdn.co/mp3-preview/c313406cabc287b0e994664987866469c980a9f2?cid=49789426e6c04428a2befbd3c2d79b02
